Question,Option A,Option B,Option C,Option D,Correct Option
109. Which of the following is an example of freeware?,   Microsoft Word,  Adobe Acrobat Reader,   AutoCAD,   Oracle Database,   B
110. What is a megabyte (MB) equivalent to?,   1000 bytes,  1024 bytes,   1000 kilobytes,   1024 kilobytes,   D
111. What is the purpose of a firewall?,   Protect a network from unauthorized access,  Speed up a computer,   Backup data,   Compress files,   A
112. What does XML stand for?,   Extra Markup Language,  Extensive Module Language,   Extensible Markup Language,   Executive Markup Language,   C
113. Which device is used to provide power backup to a computer?,   RAM,  UPS,   SSD,   CMOS,   B
114. Which of the following is not an input device?,   Keyboard,  Mouse,   Printer,   Scanner,   C
115. Which protocol is used to send emails?,   HTTP,  SMTP,   FTP,   SNMP,   B
116. Which of the following is a NoSQL database?,   MySQL,  Oracle,   MongoDB,   PostgreSQL,   C
117. What is the main advantage of cloud computing?,   On-demand access to resources,  Increased hardware costs,   Faster hardware upgrades,   Manual data management,   A
118. What does GIF stand for?,   Graphic Information Format,  Graph Interchange File,   Graphics Interchange Format,   Graphical Information Framework,   C
"119. What is the purpose of the ""Ctrl + P"" shortcut?",   Print a document,  Open a document,   Paste copied text,   Save a document,   A
120. Which device connects multiple computers in a local area network (LAN)?,   Modem,  Switch,   Router,   Firewall,   B
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
